loss,accuracy,val_loss,val_accuracy
0.1679776906967163,0.9376999735832214,0.09456314146518707,0.9599999785423279
0.07787451893091202,0.9726999998092651,0.07429277151823044,0.9737499952316284
0.061068300157785416,0.9776999950408936,0.05893923342227936,0.9825000166893005
0.0468728132545948,0.9830999970436096,0.059862714260816574,0.981249988079071
0.03393644466996193,0.9876000285148621,0.06224916875362396,0.9762499928474426
0.025604980066418648,0.9909999966621399,0.05988376587629318,0.9750000238418579
0.018069282174110413,0.9926000237464905,0.06913332641124725,0.9800000190734863
0.013570842333137989,0.9940999746322632,0.0948309674859047,0.9775000214576721
0.007626541890203953,0.9972000122070312,0.11864927411079407,0.9762499928474426
0.016048835590481758,0.9939000010490417,0.09294674545526505,0.9825000166893005
0.01460676547139883,0.9945999979972839,0.08065997064113617,0.9850000143051147
0.004253143910318613,0.9987000226974487,0.08230588585138321,0.9837499856948853
0.003167869755998254,0.9986000061035156,0.07902250438928604,0.9850000143051147
0.001467083115130663,0.9994999766349792,0.09355249255895615,0.9862499833106995
0.0005479134269990027,1.0,0.11542651057243347,0.9837499856948853
0.015026414766907692,0.9957000017166138,0.07554121315479279,0.9825000166893005
0.008502190932631493,0.9973000288009644,0.05868906155228615,0.9850000143051147
0.004891350865364075,0.998199999332428,0.11591232568025589,0.9825000166893005
0.00487736240029335,0.9977999925613403,0.0647287666797638,0.9862499833106995
0.0035272114910185337,0.9987000226974487,0.15072259306907654,0.9762499928474426
0.007163886446505785,0.9975000023841858,0.18241563439369202,0.9800000190734863
0.008780107833445072,0.9976000189781189,0.08363886177539825,0.9850000143051147
0.0007169825839810073,0.9998000264167786,0.08754706382751465,0.987500011920929
0.0005525601445697248,0.9998000264167786,0.08809542655944824,0.9887499809265137
0.0011444056872278452,0.9994000196456909,0.15680617094039917,0.9775000214576721
0.0007340669981203973,0.9997000098228455,0.09507396072149277,0.9862499833106995
0.0003029464860446751,0.9998999834060669,0.11018389463424683,0.987500011920929
0.00889368262141943,0.9976000189781189,0.07832194864749908,0.9750000238418579
0.003737058723345399,0.9988999962806702,0.0667707622051239,0.9850000143051147
0.0035124842543154955,0.9988999962806702,0.0644560232758522,0.987500011920929
